,target
574,0.071178696
575,0.068608553
576,0.041764832
577,0.048904119
578,0.13850218
579,0.098950525
580,0.10573285
581,0.13650318
582,0.18826301
583,0.21375027
584,0.23916613
585,0.25644321
586,0.2525166
587,0.18062397
588,0.12443778
589,0.18626401
590,0.25280217
591,0.27214964
592,0.28292996
593,0.28228743
594,0.1934033
595,0.12815021
596,0.10865996
597,0.1032341
598,0.13893053
599,0.10102092
600,0.076390376
601,0.067966017
602,0.061683444
603,0.056900121
604,0.053830228
605,0.049046905
606,0.046762333
607,0.044549154
608,0.041550653
609,0.040122796
610,0.036981509
611,0.036053402
612,0.033983008
613,0.030913115
614,0.028842721
615,0.027343471
616,0.024773328
617,0.02334547
618,0.024202185
619,0.030484758
620,0.034625544
621,0.049832227
622,0.045977011
623,0.041550653
624,0.039337474
625,0.043549654
626,0.11194403
627,0.096808738
628,0.16356108
629,0.21153709
630,0.23509674
631,0.26929392
632,0.28906975
633,0.10580424
634,0.22353109
635,0.22460198
636,0.23559649
637,0.24673378
638,0.2995645
639,0.38145213
640,0.49746555
641,0.54365674
642,0.53066324
643,0.48839866
644,0.41022346
645,0.33754551
646,0.31826944
647,0.31084458
648,0.27407725
649,0.21760548
650,0.16527451
651,0.14792604
652,0.13136289
653,0.1162276
654,0.10087813
655,0.092453773
656,0.084814735
657,0.079388877
658,0.074034411
659,0.071892625
660,0.06903691
661,0.064896123
662,0.060398372
663,0.056471764
664,0.053259085
665,0.051117298
666,0.048261583
667,0.04669094
668,0.045477261
669,0.039694438
670,0.036695938
671,0.034125794
672,0.032055401
673,0.032840722
674,0.033197687
675,0.041622046
676,0.054972514
677,0.062540158
678,0.065395873
679,0.084386378
680,0.1001642
681,0.14271436
682,0.24473478
683,0.26343971
684,0.26643821
685,0.24930392
686,0.10587563
687,0.29835082
688,0.3206254
689,0.34554151
690,0.37309916
691,0.27828943
692,0.21553509
693,0.21410723
694,0.25423003
695,0.26493896
696,0.26158349
697,0.2114657
698,0.19447419
699,0.16156208
700,0.20875277
701,0.19404583
702,0.138288
703,0.12665096
704,0.14578425
705,0.12607982
706,0.091668451
707,0.079031913
708,0.073034911
709,0.068822731
710,0.065110302
711,0.062040408
712,0.058470765
713,0.055043907
714,0.05190262
715,0.049832227
716,0.046905119
717,0.045120297
718,0.043121296
719,0.039908617
720,0.03848076
721,0.036481759
722,0.034482759
723,0.031841222
724,0.029913615
725,0.027843221
726,0.024059399
727,0.021060898
728,0.019418862
729,0.019347469
730,0.038909117
731,0.065467266
732,0.082744342
733,0.059970015
734,0.059755836
735,0.14221461
736,0.15306632
737,0.24394945
738,0.26279717
739,0.10594703
740,0.25087456
741,0.2915685
742,0.30506175
743,0.31312915
744,0.31826944
745,0.32755051
746,0.34582709
747,0.36353252
748,0.38545013
749,0.40872421
750,0.42757193
751,0.41957593
752,0.38730635
753,0.37345613
754,0.37524095
755,0.37095738
756,0.38123795
757,0.44420647
758,0.51017348
759,0.57185693
760,0.54943957
761,0.3898051
762,0.23966588
763,0.18519312
764,0.15963447
765,0.14414221
766,0.12772185
767,0.12086814
768,0.11087313
769,0.10209181
770,0.097308489
771,0.092025416
772,0.086028414
773,0.081245092
774,0.076176198
775,0.070464768
776,0.066323981
777,0.06232598
778,0.060398372
779,0.061183694
780,0.061183694
781,0.068108803
782,0.12950668
783,0.11779824
784,0.093096309
785,0.13521811
786,0.20289855
787,0.21532091
788,0.21632041
789,0.25829942
790,0.27293496
791,0.28078818
792,0.10601842
793,0.28007425
794,0.29478118
795,0.31377169
796,0.35103877
797,0.51338616
798,0.65295923
799,0.61969015
800,0.48689941
801,0.28628543
802,0.20411223
803,0.17883915
804,0.19961448
805,0.23324052
806,0.27471978
807,0.27907475
808,0.27493396
809,0.26436782
810,0.21032341
811,0.16463197
812,0.14999643
813,0.13307632
814,0.12350967
815,0.11215821
816,0.1051617
817,0.09659456
818,0.090526165
819,0.087956022
820,0.082672949
821,0.080102806
822,0.076318983
823,0.075819233
824,0.070750339
825,0.066680945
826,0.063111301
827,0.059256086
828,0.055686442
829,0.052330977
830,0.051831227
831,0.055972014
832,0.046548154
833,0.053830228
834,0.068751339
835,0.050117798
836,0.04569144
837,0.052473763
838,0.051188691
839,0.14464196
840,0.12772185
841,0.13814521
842,0.24666238
843,0.24109374
844,0.15378025
845,0.10608981
846,0.082530163
847,0.15877775
848,0.22088956
849,0.17976726
850,0.15035339
851,0.2264582
852,0.25223103
853,0.23424002
854,0.18797744
855,0.21332191
856,0.22481616
857,0.23466838
858,0.26586707
859,0.32776469
860,0.34018705
861,0.36146213
862,0.37995288
863,0.36481759
864,0.23488256
865,0.16563147
866,0.13500393
867,0.11815521
868,0.10559006
869,0.097165703
870,0.089455272
871,0.083886628
872,0.080602556
873,0.078175198
874,0.073034911
875,0.070893125
876,0.067894624
877,0.062468766
878,0.058327979
879,0.054401371
880,0.050688941
881,0.050760334
882,0.063396873
883,0.065324481
884,0.056685943
885,0.044977511
886,0.039123295
887,0.036838723
888,0.046976512
889,0.06332548
890,0.12500892
891,0.17912472
892,0.20332691
893,0.14342829
894,0.11829799
895,0.18119512
896,0.24937531
897,0.26772328
898,0.10616121
899,0.29678018
900,0.31227244
901,0.32976369
902,0.33526094
903,0.3136289
904,0.2244592
905,0.15278075
906,0.14999643
907,0.25365888
908,0.29142572
909,0.27493396
910,0.26693796
911,0.27514814
912,0.24830442
913,0.22474477
914,0.17555508
915,0.13450418
916,0.11265796
917,0.098664953
918,0.088741344
919,0.081245092
920,0.080174199
921,0.079603056
922,0.077175698
923,0.077746841
924,0.070678946
925,0.067680445
926,0.063539659
927,0.060826729
928,0.058185193
929,0.055900621
930,0.053259085
931,0.050831727
932,0.046333976
933,0.044049404
934,0.042264582
935,0.041050903
936,0.039408867
937,0.041550653
938,0.041907618
939,0.035625045
940,0.037338474
941,0.063039909
942,0.068608553
943,0.035410866
944,0.020989505
945,0.022274577
946,0.1011637
947,0.19183266
948,0.23067038
949,0.27629043
950,0.30648961
951,0.1062326
952,0.33133433
953,0.35724995
954,0.38966231
955,0.43906618
956,0.47105019
957,0.44599129
958,0.41172271
959,0.40044264
960,0.5030342
